id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp13-session-2042	rp13	Heute aufwachsen in Digitalistan: Die neuen mündigen Menschen?	null	2013-05-07T15:30:00+02:00	2013-05-07T16:00:00+02:00	30	2013-05-07	Stage 2	politics-society	talk	beginner	de	Manuela Schauerhammer	2014-02-24T19:04:35+01:00
rp13-session-2045	rp13	Jagen, Sammeln, Pflegen - alte und neue Aufgaben für die Öffentlich-Rechtlichen in Zeiten des Internet	null	2013-05-08T10:30:00+02:00	2013-05-08T11:00:00+02:00	30	2013-05-08	Stage 5	media	talk	intermediate	de	Lorenz Lorenz-Meyer	2014-02-24T19:04:35+01:00
rp13-session-2063	rp13	Offene API für die Lokalpolitik	null	2013-05-08T16:45:00+02:00	2013-05-08T17:15:00+02:00	30	2013-05-08	Workshop A	politics-society	talk	beginner	de	Marian Steinbach	2014-02-24T19:04:35+01:00
rp13-session-2161	rp13	Radio Universal	null	2013-05-07T10:00:00+02:00	2013-05-07T11:00:00+02:00	60	2013-05-07	Stage 2	media	talk	intermediate	de	Tim Pritlove	2014-02-24T19:04:35+01:00
rp13-session-2282	rp13	dorkbot.bln "re:publica 13 Special"	null	2013-05-07T20:00:00+02:00	2013-05-07T21:00:00+02:00	60	2013-05-07	Stage 4	culture	action	beginner	de	Joanna Dauner, Mario Sixtus, Mey Lean Kronemann, Gregor Sedlag, Mariska de Groot, Marjam Fels	2014-02-24T19:04:35+01:00
rp13-session-2283	rp13	Praktische Anleitung für den fürsorglichen Überwachungsstaat	null	2013-05-06T18:30:00+02:00	2013-05-06T19:00:00+02:00	30	2013-05-06	Stage 5	politics-society	talk	beginner	de	Kirsten Fiedler, Alexander Sander	2014-02-24T19:04:35+01:00
rp13-session-2304	rp13	Freedom of speech, nipples and the rule of law	null	2013-05-06T14:45:00+02:00	2013-05-06T15:15:00+02:00	30	2013-05-06	Stage 3	politics-society	talk	beginner	en	Joe McNamee	2014-02-24T19:04:35+01:00
rp13-session-2391	rp13	Graben – Retten – Teilen	null	2013-05-06T12:15:00+02:00	2013-05-06T13:15:00+02:00	60	2013-05-06	Workshop D	culture	discussion	beginner	de	Stefan Domke, David Ohrndorf	2014-02-24T19:04:35+01:00
rp13-session-2442	rp13	Mediated Life after Virtualization. A Critical Look at the Scenarios Forecast by New Wearable Augmented Reality Visualization Technologies.	null	2013-05-07T11:45:00+02:00	2013-05-07T12:15:00+02:00	30	2013-05-07	Stage 5	science-technology	talk	intermediate	en	Francesco Lapenta	2014-02-24T19:04:35+01:00
rp13-session-2546	rp13	Surveillance by Design	null	2013-05-06T19:00:00+02:00	2013-05-06T19:30:00+02:00	30	2013-05-06	Stage 5	politics-society	discussion	intermediate	en	Raegan MacDonald	2014-02-24T19:04:35+01:00
rp13-session-2732	rp13	How music can predict the human/machine future	null	2013-05-07T17:30:00+02:00	2013-05-07T18:00:00+02:00	30	2013-05-07	Stage 4	science-technology	talk	intermediate	en	Peter Kirn	2014-02-24T19:04:35+01:00
rp13-session-2870	rp13	Embrace the Hate	null	2013-05-07T18:45:00+02:00	2013-05-07T19:15:00+02:00	30	2013-05-07	Workshop C	culture	workshop	beginner	en	Faith Bosworth 	2014-02-24T19:04:35+01:00
rp13-session-2923	rp13	Investigation 2.0	null	2013-05-07T12:30:00+02:00	2013-05-07T13:00:00+02:00	30	2013-05-07	Stage 3	media	talk	intermediate	en	Stephanie Hankey, Marek Tuszynski	2014-02-24T19:04:35+01:00
rp13-session-3059	rp13	Myths of the Open Internet: Bust Them and Get Busy	null	2013-05-08T13:45:00+02:00	2013-05-08T14:45:00+02:00	60	2013-05-08	Stage 3	politics-society	discussion	beginner	en	Ellery Roberts Biddle, Hisham Almiraat	2014-02-24T19:04:35+01:00
rp13-session-3110	rp13	Googlequiz - 2013 Edition	null	2013-05-06T19:45:00+02:00	2013-05-06T20:45:00+02:00	60	2013-05-06	Stage 6	republica	action	beginner	de	Blanche Fabri, Jöran Muuß-Merholz	2014-02-24T19:04:35+01:00
