id	event	type	name	nickname	photo	organization	position	biography	sessions
rp13-speaker-2465	rp13	speaker	Sebastian Vorberg 	sebastian-vorberg	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-2465.jpg			Sebastian Vorberg, LL.M. (Houston) ist Fachanwalt für Medizinrecht und Gründer der Kanzlei Vorberg & Partner Rechtsanwälte und Steuerberater in Hamburg. Nach dem Studium in Hamburg, Heidelberg und Houston (USA) leitete er zunächst die Rechtsabteilung des Pharmaunternehmens Strathmann AG, um sich 2002 in eigener Kanzlei nieder zu lassen. Heute ist die Kanzlei als eine der größten Medizinrechtskanzleien in Norddeutschland bekannt und hat unter www.medizinanwalt.de und in allen sozialen Netzwerken eine starke virtuelle Präsenz. Neben diversen Artikeln und Veröffentlichungen über Patientensteuerung und Internetmedizin ist RA Vorberg für die Hochschule Hannover Dozent für das Krankenhausrecht im Rahmen der Ausbildung Krankenhausmanagement für Ärztinnen und Ärzte	[object Object]
rp13-speaker-2369	rp13	speaker	newthinking  	newthinking					
rp13-speaker-828	rp13	speaker	Manuela Schauerhammer	manuela-schauerhammer	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-828.jpg		(SEO)-Texterin, Bloggerin, Netz- und Beteiligungsaktivistin	Manuela Schauerhammer ist als freie Texterin, Webdesignerin und Beraterin in Sachen PR & digit. Strategien tätig. Darüber hinaus bloggt sie und ist seit Jahren vielfältig netz- und beteiligungspolitisch* engagiert. Die Dipl.- Frankreichwissenschaftlerin (sie studierte Frz., VWL, Jura & Politikwiss. in Deutschland und Frankreich) lebt mit ihrer Familie in Berlin.\n[*Wer darf/kann/sollte sich in einer Gesellschaft wie beteiligen können? Wer oder was legitimiert eigentlich bestehende Restriktionen?]	[object Object]
rp13-speaker-96	rp13	speaker	Gaby Becker	gaby-becker	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-96.jpg	Webgrrls e.V.	Angestellte / IT Systemanalystin	Ingenieurin für Keramik +\nBetriebswirtin Schwerpunkt Wirtschaftsinformatik\nVollzeitbeschäftigung: IT Systemanalystin bei einer Bank\nNebenberufliche Tätigkeit: Webentwicklerin, Bloggerin	[object Object]
rp13-speaker-1187	rp13	speaker	Martina Rüdiger	martina-ruediger	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1187.jpg			webgrrl,Twittertante,Nörd am Hörd und am Kompjuter	[object Object]
rp13-speaker-1294	rp13	speaker	Renate Hermanns	renate-hermanns	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1294.jpg	webgrrls.de e.V.	Developer, HTML5/CSS3, Wordpress	CSS-Profi, HTML5-Verwenderin, Wordpress-Worker, aktiv bei @webgrrls_de, netzwerkend beim @texttreff und Fan des Absurden	[object Object]
rp13-speaker-341	rp13	speaker	Daniela Warndorf	daniela-warndorf	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-341.png		Kommunikationsberaterin, Texterin, Journalistin	Kommunikationsberaterin, Texterin und Journalistin. Jahrgang 1972, Studium an der Universität Konstanz (Geschichte/Germanistik), danach Mitarbeit in verschiedenen Agenturen und Verlagen am Bodensee. Seit 2005 mit warndorf Konzept, Text & PR selbständig und seit Herbst 2011 neu in Köln. Schreibt unter www.gemachtmitliebe.de über Crafting, DIY und Nachhaltigkeit und unter www.einsneunsiebenzwei.de Geschichten über Köln und die Sache mit der Heimat, woraus auch irgenwdann mal ein Roman entstehen soll.	[object Object]
rp13-speaker-406	rp13	speaker	Kiki Haas	kiki-haas	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-406.jpg	la wollbindung	Marketing-Mangerin, Eeschen-Dompteuse	Kiki Haas ist gelernte Buchbinderin und Buchwissenschaftlerin, die auch im Job den Büchern treu blieb und seit 2009 digitale Produkte für die Buchbranche vermarktet.\nSie lebt, bloggt und strickt in Wiesbaden.	[object Object]
rp13-speaker-484	rp13	speaker	Anna Groß	anna-gross	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-484.jpg	Amadeu Antonio Stiftung	Project consultant	Linguist & cultural scientist, political educator, coach for human rights, online activist against hate speech, feminist, and coach for empowerment of underprivileged.	[object Object]
rp13-speaker-1650	rp13	speaker	Johannes Baldauf	johannes-baldauf		Amadeu Antonio Stiftung			[object Object]
rp13-speaker-1638	rp13	speaker	Alice Lanzke	alice-lanzke	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1638.jpg	Amadeu Antonio Stiftung	editor/project coordinator	Political scientist and journalist, editor for www.netz-gegen-nazis.de and project coordinator for no-nazi.net, focusing on Neonazi activities online and hate speech on the internet	[object Object]
rp13-speaker-1655	rp13	speaker	Hubert Wandjo	hubert-wandjo	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1655.jpg	Popakademie Baden-Württemberg GmbH	Geschäftsführer	Nach seinem Studium der Betriebswirtschaft an der Universität Mannheim begann Hubert Wandjo seine Laufbahn in der Musikbranche im Marketing bei CBS Schallplatten. Dort durchlief er sämtliche Marketing Stationen und avancierte zum Musikchef des Unternehmens. 1989 erhielt er zusätzlich die Verantwortung für den gesamten A&R-Bereich des Unternehmens, das zu diesem Zeitpunkt bereits unter dem Namen Sony Music firmierte. \nFünf Jahre später wechselte er als stellvertretender Geschäftsführer in die Chefetage von Sony Music. 1996 kam schließlich die Ernennung zum Managing Director von Columbia; diese Position bekleidete er bis zum Sommer 1997. Im August 1997 wechselte er zu Warner Music nach Hamburg, wo er bis September 2001 als Geschäftsführer von eastwest records tätig war. Im Jahre 2002 gründete Hubert Wandjo zusammen mit Michael Herberger und Xavier Naidoo das Musiklabel Beats Around the Busch. \nAb Juni 2003 wurde Hubert Wandjo zusammen mit Udo Dahmen und Dirk Metzger Geschäftsführer der Popakademie Baden-Württemberg. Nach dem Ausscheiden von Dirk Metzger übernahm er im Juni 2007 dessen Aufgaben als Business Direktor und Studiengangsleiter im Bereich Musikbusiness. Im April 2008 wurde Hubert Wandjo der Professorentitel verliehen.	[object Object]
rp13-speaker-1671	rp13	speaker	Andreas Rubin-Schwarz	andreas-rubin-schwarz	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1671.jpg	Universal Music	Consultant A&R	Andreas grew up in a tiny town in Southern Germany, far from influences by the outer world. Naturally he lacked a satisfying social life and needed to turn to music for comfort. Andreas went on to discover several multi-platinum award winning acts - unfortunately other people had discovered them too. Before him. However, nearly a decade later he has completed a Master's in Music Business and worked in A&R for companies such as Universal. In his free time he founded his own artist management agency before recently partnering up with Berlin based record label and management agency Humming Records.	[object Object]
rp13-speaker-1578	rp13	speaker	Sebastian Andrej Schweizer	sebastian-andrej-schweizer	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1578.jpg	Chimperator Productions	Gründer / Geschäftsführer		[object Object]
rp13-speaker-1860	rp13	speaker	Janina Klabes	janina-klabes	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1860.png	Clustermanagement Musikwirtschaft Mannheim und Region	Clustermanagerin	Seit 2010 leitet Janina Klabes das Clustermanagement der Musikwirtschaft Mannheim & Region, eine EU-geförderte Wirtschaftsfördereinheit zur Stärkung des Musikwirtschafts-Standortes Mannheim. Klabes ist zudem Gastdozentin u.a. an der Popakademie Baden-Württemberg. Seit Jahren ist Klabes Teil der Band MY BABY WANTS TO EAT YOUR PUSSY und Mit-Inhaberin des Artist-Labels ASS HAMMER REC.	[object Object]
rp13-speaker-1888	rp13	speaker	Tim Otto	tim-otto	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1888.jpg	cosmopop	Digital Marketing & Content Strategy	Tim Otto leitet die Bereiche Digital Marketing & Content Strategy der Eventagentur cosmopop GmbH aus Mannheim. Er konzipiert und administriert unter anderem sämtliche Web- und Social-Media-Auftritte internationaler Festivalmarken wie Time Warp oder Love Family Park. Die Facebook-Präsenz der Time Warp baute er innerhalb weniger Monate zur größten Fanpage im deutschen Festivalmarkt aus, noch vor Mitbewerbern wie Rock am Ring oder Wacken. Derzeit widmet er sich vermehrt der synergetischen Verknüpfung diverser Communities und Content-Plattformen mit den unternehmenseigenen Webauftritten.	[object Object]
rp13-speaker-1014	rp13	speaker	Kate Darling	kate-darling	http://13.re-publica.de/sites/13.re-publica.de/files/pictures/picture-1014.jpg	MIT	Research Specialist	Kate Darling is an IP Research Specialist at the MIT Media Lab and a Ph.D. candidate in Intellectual Property and Law & Economics. After surviving law school, she went on to pursue her passion for innovation policy at the intersection of law and technology. Her work focuses on economic issues in copyright and patent systems. She also writes and lectures about robot ethics.	[object Object]
